NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:14:30",
CHAN,MEAS,FORMAT
4,S22,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
-20000, 3.8511E-4, 1.2343E+2
-18895, 2.7671E-4, 1.7146E+2
-17789, 2.9543E-4, 1.7786E+2
-16684, 3.0886E-4,-1.4588E+2
-15579, 3.8374E-4,-1.3706E+2
-14474, 4.3039E-4,-8.1841E+1
-13368, 5.9438E-4,-8.4396E+1
-12263, 2.8289E-4,-1.3137E+1
-11158, 3.5287E-4,-1.9797E+1
-10053, 2.781E-4, 3.8894E+1
-8947, 1.3315E-4, 1.7392E+2
-7842, 4.0737E-4, 4.5218E+1
-6737, 3.5193E-4,-1.1251E+2
-5632, 3.0316E-4,-9.4364E+1
-4526, 1.0285E-3,-2.1463E+1
-3421, 8.5731E-4, 3.5774E+1
-2316, 6.8429E-4, 1.3842E+2
-1211, 5.4238E-2,-1.7561E+2
-105, 3.7672E-1, 5.5473E+1
1000, 4.1765E-1,-9.6424E+1
2105, 1.4681E-1, 2.9207E+1
3211, 1.4237E-1,-1.757E+2
4316, 1.1218E-1,-1.8252E+1
5421, 1.2386E-1, 1.6783E+2
6526, 1.9924E-1,-6.0164E+0
7632, 1.3903E-1,-1.5547E+2
8737, 7.8201E-2, 1.1668E+2
9842, 7.4772E-2,-3.5675E+1
10947, 5.483E-2, 1.0043E+2
12053, 3.3739E-2,-1.3653E+2
13158, 9.5029E-3,-1.776E+2
14263, 2.904E-2,-2.2151E+0
15368, 1.8796E-2,-1.2212E+2
16474, 1.2263E-2, 3.8558E+1
17579, 7.1587E-3, 1.2682E+2
18684, 3.0346E-3,-1.6033E+2
19789, 4.222E-3,-4.4434E+1
20895, 8.7267E-3, 1.2063E+2
22000, 4.4645E-3,-9.7344E+1
23105, 3.2764E-3,-3.876E+1
24211, 1.9768E-3, 6.7823E+1
25316, 2.2143E-3,-1.2036E+2
26421, 3.5025E-3, 4.9329E+0
27526, 2.8176E-3, 9.4679E+1
28632, 3.1966E-3, 1.5316E+2
29737, 1.9474E-3,-1.2608E+2
30842, 1.2331E-3,-8.0567E+1
31947, 1.1777E-3,-1.8825E+1
33053, 1.6282E-3, 6.0664E+1
34158, 3.9868E-3, 1.761E+2
35263, 4.2856E-3,-6.0319E+1
36368, 4.4053E-3,-1.5114E+1
37474, 6.3641E-3, 1.0945E+2
38579, 1.7985E-3,-1.7488E+2
39684, 2.1017E-3,-1.5145E+2
40789, 3.6343E-3,-8.1339E+1
41895, 2.4617E-3,-1.7978E+1
43000, 4.302E-3, 6.1724E+1
44105, 1.9762E-3,-1.7793E+2
45210, 4.5538E-4,-5.198E+1
46316, 3.9027E-4, 1.2398E+2
47421, 8.6728E-4, 1.6477E+2
48526, 5.0021E-4,-1.3969E+2
49632, 8.859E-4,-1.5735E+2
50737, 2.2466E-3,-5.8189E+1
51842, 2.8933E-3, 1.8603E+1
52947, 2.7498E-3, 1.1424E+2
54053, 2.3143E-3, 1.6716E+2
55158, 2.1204E-3,-9.1382E+1
56263, 1.2357E-3,-1.1687E+2
57368, 1.6785E-3,-1.4063E+0
58474, 1.1229E-3, 6.0239E+1
59579, 9.8898E-4,-1.6803E+2
60684, 7.8447E-4,-4.0074E+1
61789, 1.5188E-3, 6.3287E+1
62895, 1.1576E-3, 1.7296E+2
64000, 9.1001E-4,-1.0613E+2
65105, 3.5097E-4, 5.2777E+1
66210, 4.8716E-4,-8.1402E+1
67316, 6.6848E-4,-1.8539E+1
68421, 8.8815E-4, 8.5268E+1
69526, 3.3887E-4, 1.7884E+2
70632, 3.0898E-4, 5.8678E+1
71737, 9.2186E-4, 1.6075E+2
