NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:20:24",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
-20000,-74.446
-18895,-68.589
-17789,-70.373
-16684,-68.662
-15579,-68.209
-14474,-66.516
-13368,-66.917
-12263,-69.652
-11158,-67.895
-10053,-70.602
-8947,-72.179
-7842,-65.811
-6737,-63.057
-5632,-65.704
-4526,-61.010
-3421,-59.152
-2316,-59.063
-1211,-25.016
 -105,-8.314
 1000,-7.310
 2105,-16.802
 3211,-16.750
 4316,-19.066
 5421,-18.264
 6526,-14.274
 7632,-17.225
 8737,-21.778
 9842,-21.897
10947,-25.429
12053,-29.482
13158,-40.134
14263,-31.107
15368,-33.461
16474,-37.563
17579,-42.681
18684,-50.555
19789,-46.238
20895,-40.152
22000,-45.956
23105,-46.995
24211,-51.700
25316,-59.438
26421,-54.959
27526,-59.820
28632,-55.084
29737,-58.022
30842,-56.582
31947,-56.262
33053,-55.491
34158,-50.050
35263,-47.778
36368,-47.499
37474,-46.760
38579,-47.287
39684,-53.025
40789,-45.962
41895,-50.496
43000,-47.597
44105,-49.249
45210,-55.292
46316,-50.985
47421,-54.705
48526,-53.287
49632,-48.829
50737,-53.747
51842,-55.803
52947,-49.375
54053,-56.216
55158,-61.387
56263,-55.258
57368,-62.804
58474,-53.521
59579,-61.283
60684,-59.766
61789,-57.541
62895,-58.831
64000,-64.465
65105,-65.260
66210,-60.888
67316,-64.313
68421,-71.234
69526,-61.454
70632,-68.382
71737,-61.474
72842,-60.667
73947,-63.736
75053,-66.182
76158,-64.621
77263,-64.712
78368,-64.758
79474,-64.651
80579,-65.741
81684,-71.512
82789,-68.759
83895,-71.309
85000,-76.031
86105,-72.414
87210,-69.823
88316,-74.618
89421,-74.660
90526,-76.450
91632,-69.230
92737,-75.888
93842,-69.392
94947,-73.660
96053,-75.901
97158,-78.241
98263,-95.304
99368,-81.387
100474,-77.056
101579,-72.803
102684,-72.761
103789,-70.338
104895,-68.468
106000,-74.301
107105,-81.931
108210,-81.971
109316,-74.154
110421,-73.699
111526,-74.258
112632,-70.755
113737,-71.594
114842,-69.448
115947,-73.705
117053,-77.997
118158,-82.221
119263,-74.923
120368,-70.006
121474,-70.338
122579,-70.022
123684,-72.821
124789,-76.494
125895,-86.304
127000,-86.908
128105,-81.608
129210,-76.972
130316,-75.119
131421,-74.845
132526,-75.871
133631,-80.441
134737,-78.896
135842,-94.872
136947,-84.844
138053,-79.773
139158,-75.108
140263,-78.809
141368,-79.744
142474,-78.961
143579,-85.953
144684,-87.003
145789,-85.360
146895,-82.359
148000,-81.134
149105,-78.274
150210,-83.020
151316,-79.632
152421,-84.053
153526,-88.737
154631,-87.816
155737,-86.395
156842,-86.692
157947,-79.243
159053,-77.015
160158,-84.052
161263,-88.050
162368,-100.751
163474,-104.902
164579,-81.305
165684,-82.158
166789,-77.552
167895,-76.448
169000,-84.601
170105,-99.700
171210,-77.989
172316,-70.623
173421,-72.576
174526,-76.376
175631,-75.169
176737,-74.749
177842,-81.192
178947,-82.720
180053,-80.544
181158,-70.454
182263,-70.017
183368,-69.588
184474,-71.139
185579,-87.633
186684,-79.041
187789,-84.111
188895,-84.816
190000,-79.440
191105,-88.857
192210,-85.803
193316,-83.343
194421,-89.602
195526,-91.720
196631,-83.787
197737,-89.630
198842,-81.133
199947,-93.563
201053,-87.586
202158,-83.526
203263,-91.209
204368,-84.122
205474,-93.393
206579,-96.393
207684,-87.269
208789,-84.497
209895,-84.927
211000,-85.788
212105,-83.528
213210,-82.701
214316,-86.432
215421,-86.216
216526,-85.696
217631,-89.678
218737,-79.101
219842,-82.472
220947,-76.392
222052,-78.189
223158,-89.238
224263,-78.628
225368,-82.295
226474,-83.035
227579,-84.804
228684,-98.827
229789,-74.174
230895,-75.643
232000,-99.901
233105,-75.878
234210,-79.442
235316,-78.761
236421,-79.512
237526,-81.421
238631,-75.626
239737,-79.482
240842,-90.045
241947,-75.864
243052,-73.832
244158,-77.055
245263,-84.150
246368,-70.992
247474,-72.480
248579,-76.397
249684,-74.073
250789,-68.810
251895,-66.524
253000,-67.806
254105,-80.408
255210,-67.478
256316,-63.180
257421,-62.884
258526,-64.121
259631,-58.117
260737,-63.952
261842,-64.139
262947,-66.995
264052,-53.940
265158,-51.169
266263,-48.577
267368,-52.150
268474,-73.260
269579,-56.649
270684,-58.650
271789,-64.549
272895,-83.761
274000,-72.615
275105,-68.364
276210,-68.319
277316,-70.209
278421,-70.297
279526,-72.093
280631,-74.926
281737,-82.559
282842,-77.507
283947,-77.608
285052,-82.483
286158,-81.706
287263,-80.374
288368,-77.124
289474,-91.128
290579,-81.085
291684,-79.291
292789,-80.198
293895,-90.356
295000,-79.250
296105,-86.031
297210,-77.756
298316,-84.627
299421,-81.460
300526,-86.228
301631,-84.818
302737,-89.253
303842,-84.332
304947,-83.297
306052,-92.239
307158,-90.312
308263,-84.334
309368,-84.356
310473,-96.494
311579,-84.701
312684,-84.444
313789,-79.581
314895,-87.415
316000,-84.153
317105,-82.254
318210,-82.433
319316,-88.804
320421,-93.709
321526,-80.509
322631,-84.062
323737,-83.610
324842,-86.746
325947,-81.942
327052,-86.764
328158,-90.490
329263,-82.117
330368,-84.330
331473,-88.933
332579,-97.484
333684,-83.363
334789,-79.575
335895,-93.169
337000,-85.337
338105,-76.014
339210,-79.867
340316,-71.264
341421,-65.571
342526,-62.641
343631,-69.867
344737,-87.096
345842,-77.329
346947,-78.952
348052,-75.254
349158,-72.751
350263,-70.620
351368,-74.813
352473,-82.136
353579,-84.204
354684,-82.608
355789,-87.908
356895,-74.513
358000,-81.629
359105,-75.325
360210,-80.872
361316,-82.219
362421,-73.579
363526,-83.045
364631,-81.203
365737,-80.542
366842,-78.122
367947,-84.585
369052,-82.665
370158,-85.370
371263,-94.348
372368,-72.684
373473,-75.053
374579,-81.723
375684,-73.058
376789,-71.421
377895,-78.077
379000,-77.086
380105,-67.463
381210,-57.721
382316,-63.337
383421,-84.904
384526,-74.026
385631,-71.152
386737,-81.231
387842,-74.881
388947,-77.224
390052,-79.315
391158,-72.680
392263,-89.200
393368,-79.553
394473,-78.524
395579,-92.280
396684,-77.966
397789,-75.960
398894,-72.597
400000,-72.328
401105,-71.366
402210,-68.687
403316,-70.172
404421,-68.588
405526,-68.478
406631,-66.864
407737,-67.384
408842,-71.061
409947,-69.427
411052,-73.182
412158,-71.926
413263,-67.362
414368,-61.700
415473,-65.757
416579,-60.218
417684,-58.612
418789,-57.850
419894,-23.746
421000,-7.947
422105,-7.630
