NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:05:26",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
-20000, 2.0479E-4, 8.3852E+1
-18895, 3.6532E-4,-1.7884E+2
-17789, 3.3728E-4,-1.712E+2
-16684, 3.4665E-4,-1.5738E+2
-15579, 4.1454E-4,-1.4276E+2
-14474, 4.474E-4,-8.7362E+1
-13368, 4.8766E-4,-6.1739E+1
-12263, 2.8378E-4,-2.9413E+1
-11158, 4.3184E-4,-1.9089E+1
-10053, 2.7068E-4, 2.3202E+1
-8947, 2.6309E-4, 1.2772E+2
-7842, 5.3565E-4, 5.7338E+1
-6737, 7.6382E-4,-5.9568E+1
-5632, 4.6356E-4,-1.2547E+2
-4526, 8.5717E-4,-2.8718E+1
-3421, 1.1472E-3, 2.6116E+1
-2316, 1.149E-3, 1.3305E+2
-1211, 5.6906E-2, 1.7587E+2
-105, 3.8536E-1, 5.0251E+1
1000, 4.2908E-1,-1.0002E+2
2105, 1.4482E-1, 2.6753E+1
3211, 1.4453E-1,-1.7914E+2
4316, 1.1122E-1,-2.2004E+1
5421, 1.2204E-1, 1.6464E+2
6526, 1.9319E-1,-7.6067E+0
7632, 1.3653E-1,-1.5726E+2
8737, 8.1544E-2, 1.174E+2
9842, 8.0166E-2,-3.431E+1
10947, 5.3027E-2, 1.0078E+2
12053, 3.31E-2,-1.3733E+2
13158, 9.8955E-3, 1.7553E+2
14263, 2.7533E-2,-1.7523E+0
15368, 2.132E-2,-1.1889E+2
16474, 1.3141E-2, 4.4684E+1
17579, 7.1713E-3, 1.242E+2
18684, 2.9183E-3,-1.3291E+2
19789, 4.7987E-3,-2.3847E+1
20895, 9.8291E-3, 1.2573E+2
22000, 4.9599E-3,-1.0496E+2
23105, 4.403E-3,-4.8524E+1
24211, 2.5681E-3, 6.1665E+1
25316, 1.0645E-3,-1.5569E+2
26421, 1.8629E-3,-5.2652E+0
27526, 1.0833E-3, 8.5788E+1
28632, 1.7842E-3, 1.2826E+2
29737, 1.2398E-3, 1.609E+2
30842, 1.5367E-3,-1.3317E+2
31947, 1.7067E-3,-5.3027E+1
33053, 2.1098E-3, 5.9308E+1
34158, 3.7639E-3,-1.7328E+2
35263, 4.0602E-3,-6.8515E+1
36368, 4.602E-3, 3.7463E+0
37474, 5.3704E-3, 9.439E+1
38579, 3.387E-3, 1.7078E+2
39684, 4.2674E-3,-1.5133E+2
40789, 5.7823E-3,-6.0564E+1
41895, 3.6703E-3, 1.5092E+0
43000, 4.9566E-3, 6.7365E+1
44105, 3.3911E-3, 1.5799E+2
45210, 2.1732E-3,-1.7383E+2
46316, 2.9764E-3,-9.5994E+1
47421, 1.4705E-3, 3.355E+0
48526, 2.1638E-3, 1.6603E+1
49632, 3.1028E-3, 1.5168E+2
50737, 1.5406E-3,-5.5962E+1
51842, 1.0098E-3,-4.7953E+1
52947, 3.3027E-3, 9.6147E+1
54053, 1.7676E-3,-1.2754E+2
55158, 7.4134E-4,-1.2866E+2
56263, 1.4105E-3,-4.7151E+1
57368, 7.9734E-4,-6.6132E+1
58474, 1.9032E-3, 6.9333E+1
59579, 4.6826E-4,-1.4801E+2
60684, 5.8141E-4,-1.4418E+2
61789, 8.7857E-4, 3.0009E+1
62895, 9.8682E-4, 1.6058E+2
64000, 5.8024E-4,-7.0194E+1
65105, 6.2335E-4,-4.8963E+1
66210, 6.8055E-4, 8.8559E+1
67316, 1.3038E-4,-4.8892E+1
68421, 3.9139E-4, 1.691E+2
69526, 4.026E-4, 1.2892E+1
70632, 2.9844E-4, 7.3567E+1
71737, 5.5327E-4,-1.7673E+2
72842, 6.6358E-4,-1.1629E+2
