NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:07:16",
CHAN,MEAS,FORMAT
3,S12,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
-20000, 5.4299E-6, 3.9544E+1
-18895, 2.4309E-6, 1.5089E+2
-17789, 4.1409E-6, 1.7683E+2
-16684, 6.5569E-6,-1.1659E+2
-15579, 7.0343E-6,-3.7156E+1
-14474, 4.5492E-6, 1.8844E+1
-13368, 4.7092E-6, 6.0853E+1
-12263, 3.2095E-6, 1.7258E+2
-11158, 1.8765E-6,-1.5822E+2
-10053, 5.6455E-6,-1.068E+2
-8947, 1.1943E-5, 2.3483E-1
-7842, 8.2173E-6, 3.0207E+1
-6737, 9.032E-6, 1.0355E+2
-5632, 9.6862E-6, 9.4831E+1
-4526, 1.6352E-5, 1.4745E+2
-3421, 1.3451E-5, 1.4871E+2
-2316, 3.5934E-5,-1.126E+2
-1211, 7.3059E-5, 3.7244E+0
-105, 1.5162E-3, 4.763E+1
1000, 1.1514E-2,-8.7396E+1
2105, 1.7056E-2, 1.2899E+2
3211, 8.8457E-3,-6.8156E+0
4316, 2.2741E-3,-1.0532E+2
5421, 4.4727E-4,-1.24E+2
6526, 4.5215E-4, 3.8313E+1
7632, 3.5369E-3,-1.3048E+1
8737, 4.0382E-3,-1.4689E+2
9842, 4.6221E-3, 1.6815E+2
10947, 4.7562E-3, 1.9361E+1
12053, 2.2096E-3,-1.0451E+2
13158, 1.7374E-3, 1.356E+2
14263, 2.8512E-3, 5.6163E+1
15368, 1.1102E-3, 1.2757E+2
16474, 3.5237E-3,-9.3858E+1
17579, 1.3486E-4,-3.6666E+1
18684, 1.814E-3, 5.6309E+1
19789, 1.405E-3,-1.0547E+2
20895, 5.0084E-4, 6.3401E+1
22000, 7.5701E-4, 1.1086E+2
23105, 3.1032E-4, 1.5751E+2
24211, 1.497E-4,-1.0513E+2
25316, 9.0658E-4,-1.5901E+2
26421, 1.0314E-3,-4.9576E+1
27526, 9.6248E-4, 1.2318E+1
28632, 8.4351E-4, 1.1673E+2
29737, 3.4959E-4,-1.7165E+2
30842, 2.0154E-4, 2.4295E+1
31947, 2.2417E-4, 1.6499E+2
33053, 2.4029E-4,-1.2982E+2
34158, 9.6573E-5, 1.6158E+2
35263, 7.6186E-4,-8.3537E+1
36368, 3.6624E-4, 1.039E+1
37474, 1.2833E-3, 6.3328E+1
38579, 4.1844E-4,-1.6545E+2
39684, 7.63E-4,-1.3786E+2
40789, 2.2934E-4,-1.7989E+2
41895, 8.1867E-4,-3.716E+1
43000, 7.243E-4, 5.6868E+1
44105, 1.0462E-3, 1.31E+2
45210, 1.0777E-3,-1.297E+2
46316, 1.531E-3,-3.851E+1
47421, 6.8614E-4, 3.2841E+1
48526, 1.3318E-3, 1.2212E+2
49632, 2.5374E-4, 1.4316E+2
50737, 1.393E-3,-1.4613E+2
51842, 1.1999E-3,-1.3591E+1
52947, 8.8618E-4,-2.2949E+1
54053, 1.3556E-3, 1.3696E+2
55158, 3.7496E-4, 1.1023E+1
56263, 6.1807E-4,-1.0953E+2
57368, 5.3857E-4, 7.7835E+1
58474, 5.769E-4,-1.078E+2
59579, 5.259E-4, 1.0629E+2
60684, 5.0192E-4,-7.03E+1
61789, 1.3686E-4,-1.9883E+1
62895, 6.9233E-4, 6.2361E+1
64000, 6.4898E-4,-1.5277E+2
65105, 3.2812E-4,-7.4487E+0
66210, 2.3647E-4, 1.4034E+2
67316, 3.3479E-4,-1.2766E+2
68421, 3.7515E-4,-2.1889E+1
69526, 3.4204E-4, 8.6634E+1
70632, 6.7807E-5,-7.9485E+1
71737, 4.6257E-5, 3.4639E+1
72842, 4.3661E-4, 1.3746E+2
