NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:07:18",
CHAN,MEAS,FORMAT
4,S22,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
-20000, 3.9503E-4, 1.2626E+2
-18895, 2.5687E-4, 1.683E+2
-17789, 2.8061E-4, 1.7978E+2
-16684, 3.1168E-4,-1.4844E+2
-15579, 3.7865E-4,-1.374E+2
-14474, 4.0747E-4,-7.9644E+1
-13368, 6.3302E-4,-8.1278E+1
-12263, 2.5968E-4,-2.0267E+1
-11158, 3.2862E-4,-1.724E+1
-10053, 2.8931E-4, 4.2241E+1
-8947, 1.3217E-4, 1.798E+2
-7842, 4.0906E-4, 4.4765E+1
-6737, 3.5862E-4,-1.0991E+2
-5632, 3.1899E-4,-9.3312E+1
-4526, 1.0066E-3,-2.1289E+1
-3421, 8.9566E-4, 3.7638E+1
-2316, 7.0287E-4, 1.4285E+2
-1211, 5.481E-2,-1.748E+2
-105, 3.7768E-1, 5.6107E+1
1000, 4.1666E-1,-9.5942E+1
2105, 1.4774E-1, 2.9453E+1
3211, 1.425E-1,-1.7531E+2
4316, 1.1247E-1,-1.7893E+1
5421, 1.239E-1, 1.6813E+2
6526, 1.9912E-1,-5.4506E+0
7632, 1.39E-1,-1.5481E+2
8737, 7.7702E-2, 1.1714E+2
9842, 7.4719E-2,-3.4908E+1
10947, 5.5109E-2, 1.0116E+2
12053, 3.4153E-2,-1.3631E+2
13158, 9.4107E-3,-1.7475E+2
14263, 2.9498E-2,-1.4406E+0
15368, 1.8348E-2,-1.2249E+2
16474, 1.1971E-2, 4.1119E+1
17579, 6.9105E-3, 1.3143E+2
18684, 2.8301E-3,-1.4869E+2
19789, 4.4454E-3,-3.6668E+1
20895, 9.3787E-3, 1.2033E+2
22000, 4.6691E-3,-1.0491E+2
23105, 3.7106E-3,-4.712E+1
24211, 2.2351E-3, 5.0655E+1
25316, 1.5568E-3,-1.2467E+2
26421, 2.9538E-3, 1.1361E+1
27526, 2.3387E-3, 1.0429E+2
28632, 2.5949E-3, 1.558E+2
29737, 1.3806E-3,-1.2316E+2
30842, 8.6886E-4,-9.9818E+1
31947, 1.1445E-3,-3.711E+1
33053, 1.8331E-3, 7.0759E+1
34158, 3.9924E-3,-1.648E+2
35263, 4.0151E-3,-4.2414E+1
36368, 4.4097E-3,-1.5481E+1
37474, 7.4976E-3, 1.228E+2
38579, 7.7796E-4, 1.1441E+2
39684, 3.5336E-3,-1.3228E+2
40789, 3.9884E-3,-7.5111E+1
41895, 2.7156E-3,-1.7757E+0
43000, 4.4926E-3, 6.9484E+1
44105, 1.9974E-3,-1.5865E+2
45210, 4.4545E-4, 5.9766E+1
46316, 8.014E-4, 1.3164E+2
47421, 1.2475E-3,-1.5766E+2
48526, 1.0871E-3,-9.09E+1
49632, 2.4814E-4,-1.6662E+2
50737, 1.8965E-3,-3.7991E+1
51842, 2.5491E-3, 3.4054E+1
52947, 2.7441E-3, 1.3033E+2
54053, 1.9956E-3,-1.7211E+2
55158, 1.9222E-3,-7.4044E+1
56263, 9.8829E-4,-1.3254E+2
57368, 1.3163E-3,-3.2396E+0
58474, 9.5634E-4, 4.6522E+1
59579, 6.8235E-4,-1.6209E+2
60684, 7.2734E-4,-1.4814E+1
61789, 1.6278E-3, 8.0997E+1
62895, 1.4567E-3,-1.6759E+2
64000, 1.1345E-3,-8.2509E+1
65105, 6.6001E-4, 4.9573E+1
66210, 5.6081E-4,-1.2263E+2
67316, 9.8034E-4, 5.787E+0
68421, 6.5998E-4, 9.9812E+1
69526, 6.0868E-4,-1.5875E+2
70632, 8.095E-4, 6.2364E+1
71737, 9.9318E-4, 1.7944E+2
72842, 1.5382E-3,-1.0935E+2
