NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:18:42",
CHAN,MEAS,FORMAT
4,S22,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
-20000, 3.9054E-4, 1.2349E+2
-18895, 2.7125E-4, 1.6954E+2
-17789, 2.8524E-4, 1.7681E+2
-16684, 3.1402E-4,-1.4715E+2
-15579, 3.8505E-4,-1.3766E+2
-14474, 4.2938E-4,-7.8625E+1
-13368, 6.0863E-4,-8.5892E+1
-12263, 2.8309E-4,-1.3962E+1
-11158, 3.5641E-4,-2.08E+1
-10053, 2.9658E-4, 4.1888E+1
-8947, 1.2501E-4, 1.7511E+2
-7842, 4.0858E-4, 4.5426E+1
-6737, 3.335E-4,-1.1385E+2
-5632, 3.2684E-4,-9.525E+1
-4526, 1.0354E-3,-2.0782E+1
-3421, 8.7181E-4, 3.6177E+1
-2316, 7.1312E-4, 1.4257E+2
-1211, 5.4279E-2,-1.7549E+2
-105, 3.7682E-1, 5.5616E+1
1000, 4.1738E-1,-9.6284E+1
2105, 1.4667E-1, 2.9327E+1
3211, 1.4208E-1,-1.7557E+2
4316, 1.1205E-1,-1.8066E+1
5421, 1.2391E-1, 1.6806E+2
6526, 1.9928E-1,-5.89E+0
7632, 1.3851E-1,-1.5533E+2
8737, 7.8378E-2, 1.1713E+2
9842, 7.4659E-2,-3.5673E+1
10947, 5.4611E-2, 1.0023E+2
12053, 3.3526E-2,-1.3627E+2
13158, 9.5511E-3,-1.7909E+2
14263, 2.861E-2,-1.9322E+0
15368, 1.9204E-2,-1.215E+2
16474, 1.2378E-2, 3.6457E+1
17579, 7.289E-3, 1.2316E+2
18684, 3.1725E-3,-1.6848E+2
19789, 3.9927E-3,-5.004E+1
20895, 8.279E-3, 1.2271E+2
22000, 4.5482E-3,-9.0829E+1
23105, 3.2278E-3,-2.842E+1
24211, 2.1461E-3, 8.3789E+1
25316, 2.7541E-3,-1.2214E+2
26421, 3.8268E-3,-1.5601E+0
27526, 3.0967E-3, 8.6818E+1
28632, 3.5228E-3, 1.4891E+2
29737, 2.2673E-3,-1.3307E+2
30842, 1.5965E-3,-8.0787E+1
31947, 1.443E-3,-1.5544E+1
33053, 1.7508E-3, 6.0401E+1
34158, 4.1063E-3, 1.7103E+2
35263, 4.4512E-3,-6.4693E+1
36368, 4.3188E-3,-2.0196E+1
37474, 6.5141E-3, 9.8167E+1
38579, 3.482E-3, 1.7254E+2
39684, 2.5058E-3,-1.1208E+2
40789, 3.6281E-3,-7.7017E+1
41895, 1.5284E-3,-8.7479E+0
43000, 4.9857E-3, 4.9348E+1
44105, 2.6821E-3, 1.5265E+2
45210, 1.7674E-3,-1.3841E+2
46316, 1.0598E-3,-6.6871E+1
47421, 1.0622E-4, 1.0079E+2
48526, 4.0429E-4,-1.4501E+1
49632, 1.2144E-3, 1.1589E+2
50737, 1.0177E-3,-1.143E+2
51842, 1.7462E-3,-2.0664E+1
52947, 1.3932E-3, 1.058E+2
54053, 1.3355E-3, 1.4891E+2
55158, 1.4332E-3,-7.4851E+1
56263, 9.7632E-4,-1.5088E+2
57368, 1.0303E-3, 3.6653E+0
58474, 5.613E-4, 7.12E+1
59579, 8.8833E-4,-1.3586E+2
60684, 8.3103E-4,-1.6102E+1
61789, 1.2572E-3, 7.3732E+1
62895, 6.4639E-4,-1.7725E+2
64000, 7.8371E-4,-9.2068E+1
65105, 7.7733E-4, 7.3856E+1
66210, 3.4707E-4, 1.7135E+2
67316, 6.3955E-4,-1.1046E+2
68421, 5.0957E-4,-5.5598E+1
69526, 7.6393E-4, 1.3582E+1
70632, 1.3363E-3, 7.2279E+1
71737, 1.2643E-3, 1.6187E+2
72842, 1.4625E-3,-1.3404E+2
