NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:07:10",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
-20000,-72.470
-18895,-68.873
-17789,-69.871
-16684,-69.937
-15579,-67.362
-14474,-67.068
-13368,-66.571
-12263,-70.076
-11158,-66.441
-10053,-70.484
-8947,-70.492
-7842,-66.314
-6737,-63.016
-5632,-66.444
-4526,-60.570
-3421,-58.899
-2316,-59.169
-1211,-24.978
 -105,-8.303
 1000,-7.331
 2105,-16.797
 3211,-16.776
 4316,-19.079
 5421,-18.281
 6526,-14.281
 7632,-17.261
 8737,-21.774
 9842,-21.901
10947,-25.505
12053,-29.615
13158,-40.208
14263,-31.202
15368,-33.405
16474,-37.607
17579,-42.997
18684,-50.787
19789,-46.304
20895,-40.082
22000,-46.065
23105,-47.172
24211,-51.850
25316,-59.619
26421,-54.486
27526,-59.195
28632,-54.898
29737,-58.196
30842,-56.289
31947,-55.260
33053,-53.290
34158,-48.232
35263,-47.770
36368,-46.682
37474,-45.050
38579,-49.702
39684,-47.341
40789,-44.614
41895,-49.065
43000,-45.991
44105,-49.534
45210,-53.479
46316,-50.768
47421,-57.538
48526,-53.931
49632,-50.384
50737,-56.146
51842,-59.957
52947,-49.471
54053,-54.575
55158,-62.005
56263,-56.228
57368,-61.997
58474,-54.370
59579,-68.106
60684,-63.768
61789,-61.087
62895,-60.368
64000,-65.222
65105,-65.000
66210,-64.275
67316,-81.916
68421,-68.058
69526,-68.969
70632,-69.685
71737,-65.229
72842,-62.917
73947,-68.481
75053,-67.245
76158,-65.601
77263,-65.335
78368,-64.151
79474,-63.465
80579,-66.871
81684,-67.950
82789,-66.421
83895,-69.227
85000,-70.880
86105,-73.246
87210,-80.068
88316,-88.829
89421,-75.837
90526,-73.785
91632,-76.571
92737,-87.731
93842,-89.389
94947,-74.487
96053,-77.680
97158,-77.409
98263,-74.812
99368,-75.489
100474,-72.946
101579,-72.565
102684,-78.803
103789,-77.440
104895,-79.677
106000,-77.666
107105,-80.172
108210,-74.162
109316,-74.119
110421,-73.575
111526,-76.064
112632,-81.004
113737,-90.274
114842,-79.604
115947,-78.431
117053,-77.107
118158,-78.922
119263,-77.594
120368,-76.281
121474,-74.935
122579,-75.051
123684,-80.305
124789,-82.096
125895,-86.060
127000,-82.728
128105,-81.562
129210,-81.177
130316,-94.092
131421,-90.508
132526,-84.194
133631,-84.080
134737,-81.833
135842,-84.027
136947,-82.613
138053,-86.222
139158,-96.330
140263,-83.993
141368,-83.082
142474,-77.282
143579,-79.274
144684,-80.412
145789,-78.456
146895,-82.769
148000,-85.021
149105,-86.688
150210,-87.611
151316,-87.096
