! FILETYPE CSV
! VERSION 1.0,1
! TIMESTAMP Thursday, 23 July 2015 07:52:47
! TIMEZONE (GMT-08:00) Pacific Time (US & Canada)
! NAME Keysight Technologies
! MODEL N9913A
! SERIAL MY53101626
! FIRMWARE_VERSION A.08.00
! GPS_LATITUDE 
! GPS_LONGITUDE 
! GPS_TIMESTAMP 0001-01-01 00:00:00Z
! GPS_SECS_SINCE_LAST_READ 0
! CHECKSUM 0297667772
! CORRECTION1 ON U
! DATA Freq,S11
! FREQ UNIT Hz
! DATA UNIT Degrees
BEGIN
50000000,-113.720148627437
50439882.6979472,-114.953774334362
50879765.3958944,-115.671793877541
51319648.0938416,-115.674554630633
51759530.7917888,-115.393729941217
52199413.4897361,-115.335001800614
52639296.1876833,-115.649378511808
53079178.8856305,-116.541710564842
53519061.5835777,-117.881597637029
53958944.2815249,-119.525144059965
54398826.9794721,-121.000498269081
54838709.6774193,-122.164365443794
55278592.3753665,-122.721818514616
55718475.0733138,-122.938879387887
56158357.771261,-123.160371187978
56598240.4692082,-123.517898375092
57038123.1671554,-124.238572018918
57478005.8651026,-125.488133141018
57917888.5630498,-127.208858900968
58357771.260997,-129.042217181804
58797653.9589442,-130.661950498819
59237536.6568914,-131.67535647962
59677419.3548387,-132.090433767046
60117302.0527859,-132.11992044626
60557184.7507331,-132.125217350756
60997067.4486803,-132.215554425764
61436950.1466275,-132.918314292227
61876832.8445747,-134.108214925075
62316715.5425219,-135.859381101602
62756598.2404691,-137.689763026226
63196480.9384163,-139.408664386904
63636363.6363636,-140.585656408722
64076246.3343108,-141.121114248591
64516129.032258,-141.205591701473
64956011.7302052,-141.199590841338
65395894.4281524,-141.434582283087
65835777.1260996,-142.102199452828
66275659.8240468,-143.330842600115
66715542.521994,-145.053231477072
67155425.2199413,-146.904936486618
67595307.9178885,-148.471616562814
68035190.6158357,-149.626276884133
68475073.3137829,-150.245415360534
68914956.0117301,-150.361477749584
69354838.7096774,-150.607991446629
69794721.4076246,-150.991271951953
70234604.1055718,-151.726822323474
70674486.803519,-153.117279020671
71114369.5014662,-154.81058577572
71554252.1994134,-156.64781560937
71994134.8973607,-158.279231236974
72434017.5953079,-159.321132540982
72873900.2932551,-159.948701660354
73313782.9912023,-160.2559453727
73753665.6891495,-160.482868038283
74193548.3870968,-161.127455887879
74633431.085044,-162.090172053932
75073313.7829912,-163.466507273695
75513196.4809384,-165.163667298145
75953079.1788856,-166.875312746343
76392961.8768329,-168.21200806713
76832844.5747801,-169.072208256576
77272727.2727273,-169.532544834487
77712609.9706745,-169.945650883312
78152492.6686217,-170.234174707994
78592375.366569,-170.981027680211
79032258.0645162,-172.261921117904
79472140.7624634,-173.970964391803
79912023.4604106,-175.913103877525
80351906.1583578,-177.737711353607
80791788.856305,-179.155000929178
81231671.5542523,179.955468668028
81671554.2521995,179.467488187212
82111436.9501467,179.059520772593
82551319.6480939,178.453605434554
82991202.3460411,177.318532126825
83431085.0439884,175.559952427355
83870967.7419356,173.327042827759
84310850.4398828,170.95727335438
84750733.13783,168.82698092565
85190615.8357772,167.14045450341
85630498.5337245,165.95339049475
86070381.2316717,165.33887436244
86510263.9296189,164.729195990032
86950146.6275661,163.844425049147
87390029.3255133,162.34122847488
87829912.0234606,160.239535136324
88269794.7214078,157.609943531906
88709677.419355,154.836887695471
89149560.1173022,152.415382322927
89589442.8152494,150.49673134296
90029325.5131966,149.064543402374
90469208.2111439,148.005947896607
90909090.9090911,146.807253886284
91348973.6070383,145.200442341616
91788856.3049855,142.933829476926
92228739.0029327,139.781219745934
92668621.70088,136.251458019759
93108504.3988272,132.727904673005
93548387.0967744,129.768758289275
93988269.7947216,127.630277221687
94428152.4926688,125.955893607925
94868035.1906161,124.683160865565
95307917.8885633,123.185640463864
95747800.5865105,120.807599615833
96187683.2844577,117.423713236998
96627565.9824049,113.159892731717
97067448.6803522,108.542281552771
97507331.3782994,104.659459320767
97947214.0762466,102.506688106659
98387096.7741938,102.005992260415
98826979.472141,103.247213100077
99266862.1700882,105.980003782372
99706744.8680355,110.376457240923
100146627.565983,116.924677471724
100586510.26393,126.320577298539
101026392.961877,140.712735558927
101466275.659824,157.504976868809
101906158.357772,169.658970718645
102346041.055719,176.31131590715
102785923.753666,-179.761315468903
103225806.451613,-176.344511549187
103665689.14956,-173.441280761987
104105571.847508,-170.779421606702
104545454.545455,-169.036708985259
104985337.243402,-168.724262584384
105425219.941349,-170.184740597056
105865102.639297,-173.459828713584
106304985.337244,-177.845835375432
106744868.035191,177.742254722833
107184750.733138,174.217446881101
107624633.431085,172.143323799711
108064516.129033,171.12756171338
108504398.82698,170.596086061109
108944281.524927,169.69498745322
109384164.222874,167.561885332152
109824046.920822,163.629228083508
110263929.618769,158.128366612692
110703812.316716,154.478423454987
111143695.014663,153.522576723082
111583577.71261,152.955847613361
112023460.410558,152.784917883535
112463343.108505,153.120584868458
112903225.806452,153.751323252927
113343108.504399,153.957886368428
113782991.202346,153.339826755376
114222873.900294,151.226367677856
114662756.598241,148.000127193705
115102639.296188,144.137047534331
115542521.994135,140.872066216713
115982404.692083,138.895711260135
116422287.39003,138.14664868553
116862170.087977,138.479360950843
117302052.785924,139.23110007789
117741935.483871,139.383044028225
118181818.181819,138.394127664479
118621700.879766,136.311078387934
119061583.577713,133.104374333432
119501466.27566,129.907694108129
119941348.973608,128.495020293791
120381231.671555,129.32129510178
120821114.369502,132.78034477098
121260997.067449,138.785924916687
121700879.765396,146.355985740792
122140762.463344,154.916464112636
122580645.161291,162.338543545837
