NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:20:30",
CHAN,MEAS,FORMAT
3,S12,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
-20000, 6.7119E-6,-6.2356E+1
-18895, 8.854E-6,-2.8864E+1
-17789, 4.3211E-6,-2.3875E+1
-16684, 6.1916E-6, 7.2378E+1
-15579, 3.8129E-6, 5.9171E+1
-14474, 3.8536E-6, 1.5989E+2
-13368, 5.4069E-6, 1.5813E+2
-12263, 6.8254E-6,-1.2998E+2
-11158, 5.308E-6,-8.9401E+1
-10053, 8.3327E-6,-4.227E+1
-8947, 1.0943E-5,-7.9623E+0
-7842, 1.3821E-5, 4.3698E+1
-6737, 1.543E-5, 9.9222E+1
-5632, 1.313E-5, 1.1256E+2
-4526, 1.576E-5, 1.5759E+2
-3421, 1.3982E-5, 1.7934E+2
-2316, 3.095E-5,-1.0714E+2
-1211, 7.9428E-5, 1.0423E+0
-105, 1.4977E-3, 4.7362E+1
1000, 1.1347E-2,-8.7642E+1
2105, 1.6775E-2, 1.2877E+2
3211, 8.6907E-3,-7.2524E+0
4316, 2.312E-3,-1.037E+2
5421, 3.916E-4,-1.5846E+2
6526, 5.0493E-4, 2.4539E+1
7632, 3.5817E-3,-2.2766E+1
8737, 3.6931E-3,-1.5477E+2
9842, 4.5116E-3, 1.6492E+2
10947, 4.3028E-3, 1.714E+1
12053, 2.08E-3,-9.9246E+1
13158, 1.595E-3, 1.3698E+2
14263, 2.9066E-3, 5.4668E+1
15368, 1.0588E-3, 1.2431E+2
16474, 3.4062E-3,-9.9233E+1
17579, 2.9944E-4,-4.7645E+1
18684, 1.8391E-3, 5.4919E+1
19789, 1.2713E-3,-1.1132E+2
20895, 3.2476E-4, 6.6399E+1
22000, 6.2573E-4, 1.0155E+2
23105, 1.9709E-4, 1.2936E+2
24211, 1.0789E-4, 1.5642E+2
25316, 1.0462E-3,-1.6418E+2
26421, 1.1053E-3,-5.9111E+1
27526, 1.0794E-3, 5.4904E+0
28632, 8.9265E-4, 1.0815E+2
29737, 4.0272E-4, 1.7438E+2
30842, 1.2221E-4, 2.3538E+0
31947, 1.6931E-4, 1.4877E+2
33053, 3.1962E-4,-1.4081E+2
34158, 8.7876E-5,-3.7951E+1
35263, 4.665E-4,-8.0528E+1
36368, 8.6609E-5,-9.0623E+0
37474, 7.1074E-4, 3.9181E+1
38579, 6.7991E-4, 4.1527E+1
39684, 1.5443E-3,-1.7623E+2
40789, 4.4783E-4,-1.1201E+2
41895, 9.2612E-4,-3.3571E+1
43000, 3.8569E-4, 9.5425E+1
44105, 5.6473E-4, 4.228E+1
45210, 5.3578E-4, 1.4417E+2
46316, 2.7008E-4,-9.39E+1
47421, 8.2849E-4,-8.4566E+1
48526, 5.9877E-4, 1.2026E+2
49632, 7.5677E-4,-3.5239E+0
50737, 7.093E-4, 1.73E+2
51842, 7.8801E-4, 5.5628E+1
52947, 9.1176E-4,-9.732E+1
54053, 8.2183E-4, 1.6131E+2
55158, 8.262E-4,-1.0904E+0
56263, 4.8872E-4,-9.4528E+1
57368, 8.43E-4, 6.6978E+1
58474, 4.8021E-4,-1.4483E+2
59579, 6.4476E-4, 1.3749E+2
60684, 7.0774E-4,-6.5588E+1
61789, 5.9382E-5,-1.3061E+1
62895, 4.3344E-4, 4.3142E+1
64000, 3.4943E-4,-1.5232E+2
65105, 2.6829E-4, 1.4413E+1
66210, 1.554E-4, 1.0844E+2
67316, 2.6826E-4, 1.5859E+2
68421, 2.8813E-4,-9.6276E+1
69526, 7.5119E-5, 7.3584E+1
70632, 1.6919E-4,-6.1938E+1
71737, 2.4218E-4,-5.2023E+1
72842, 5.0424E-4, 8.0166E+1
