NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:18:34",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
-20000,-72.697
-18895,-68.945
-17789,-70.290
-16684,-69.442
-15579,-67.451
-14474,-67.057
-13368,-66.770
-12263,-70.944
-11158,-67.124
-10053,-69.983
-8947,-71.442
-7842,-65.560
-6737,-62.929
-5632,-66.065
-4526,-60.463
-3421,-59.006
-2316,-58.993
-1211,-25.036
 -105,-8.315
 1000,-7.305
 2105,-16.800
 3211,-16.757
 4316,-19.075
 5421,-18.273
 6526,-14.279
 7632,-17.238
 8737,-21.786
 9842,-21.902
10947,-25.447
12053,-29.492
13158,-40.211
14263,-31.140
15368,-33.473
16474,-37.577
17579,-42.658
18684,-50.474
19789,-46.178
20895,-40.134
22000,-45.973
23105,-47.000
24211,-51.711
25316,-59.309
26421,-54.895
27526,-59.601
28632,-55.015
29737,-58.083
30842,-56.448
31947,-55.988
33053,-54.609
34158,-49.312
35263,-47.852
36368,-47.523
37474,-46.021
38579,-48.124
39684,-51.980
40789,-45.930
41895,-51.368
43000,-47.123
44105,-49.666
45210,-55.027
46316,-50.682
47421,-55.414
48526,-53.363
49632,-48.777
50737,-54.776
51842,-55.172
52947,-49.359
54053,-56.755
55158,-60.460
56263,-55.930
57368,-61.608
58474,-53.631
59579,-63.631
60684,-59.748
61789,-57.757
62895,-59.420
64000,-65.509
65105,-64.722
66210,-60.652
67316,-66.361
68421,-68.014
69526,-62.883
70632,-66.882
71737,-62.723
72842,-60.478
73947,-66.178
75053,-65.265
76158,-65.121
77263,-65.196
78368,-64.501
79474,-64.210
80579,-66.310
81684,-69.116
82789,-67.225
83895,-69.205
85000,-73.152
86105,-70.146
87210,-69.704
88316,-73.781
89421,-78.554
90526,-74.704
91632,-69.136
92737,-75.701
93842,-69.685
94947,-76.751
96053,-75.026
97158,-80.295
98263,-85.690
99368,-79.984
100474,-78.898
101579,-73.393
102684,-73.874
103789,-70.840
104895,-69.159
106000,-75.473
107105,-81.885
108210,-80.291
109316,-74.008
110421,-73.451
111526,-73.827
112632,-73.270
113737,-73.550
114842,-71.308
115947,-78.114
117053,-78.488
118158,-77.480
119263,-74.022
120368,-70.227
121474,-69.546
122579,-70.371
123684,-73.687
124789,-82.425
125895,-86.449
127000,-84.819
128105,-79.276
129210,-78.910
130316,-74.971
131421,-73.485
132526,-74.403
133631,-76.949
134737,-80.371
135842,-99.548
136947,-80.947
138053,-77.863
139158,-75.828
140263,-77.608
141368,-80.072
142474,-87.402
143579,-87.124
144684,-81.668
145789,-95.097
146895,-88.200
148000,-79.253
149105,-78.200
150210,-77.874
151316,-78.835
152421,-86.860
153526,-82.304
154631,-88.785
155737,-88.086
156842,-84.477
157947,-79.477
159053,-80.587
160158,-80.498
161263,-83.665
162368,-91.198
163474,-90.237
164579,-81.642
165684,-88.987
166789,-84.905
167895,-79.020
169000,-79.601
170105,-74.736
171210,-75.147
172316,-76.116
173421,-78.696
174526,-75.748
175631,-74.204
176737,-75.710
177842,-78.029
178947,-79.030
180053,-77.415
181158,-78.650
182263,-70.852
183368,-71.870
184474,-70.275
185579,-73.069
186684,-79.017
187789,-77.194
188895,-77.000
190000,-82.563
191105,-89.942
192210,-84.230
193316,-82.881
194421,-95.699
195526,-90.122
196631,-90.621
197737,-91.921
198842,-90.298
199947,-83.510
201053,-90.270
202158,-96.126
203263,-86.175
204368,-88.879
205474,-94.668
206579,-83.679
207684,-91.157
208789,-83.860
209895,-98.371
211000,-92.283
212105,-87.402
213210,-81.513
214316,-82.391
215421,-84.114
216526,-83.474
217631,-84.921
218737,-83.710
219842,-78.070
220947,-81.669
222052,-81.781
223158,-82.341
224263,-82.761
