NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:09:00",
CHAN,MEAS,FORMAT
4,S22,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,UNITS
Hz,U,deg
50000000, 8.2813E-1,-1.0502E+2
52375000, 8.3951E-1,-1.0944E+2
54750000, 8.476E-1,-1.137E+2
57125000, 8.5377E-1,-1.1791E+2
59500000, 8.6007E-1,-1.2214E+2
61875000, 8.7098E-1,-1.2637E+2
64250000, 8.8022E-1,-1.3042E+2
66625000, 8.8671E-1,-1.3463E+2
69000000, 8.9191E-1,-1.3891E+2
71375000, 8.9573E-1,-1.4304E+2
73750000, 9.1134E-1,-1.4764E+2
76125000, 9.1758E-1,-1.5201E+2
78500000, 9.2014E-1,-1.5641E+2
80875000, 9.2083E-1,-1.6087E+2
83250000, 9.209E-1,-1.6557E+2
85625000, 9.2299E-1,-1.7055E+2
88000000, 9.2498E-1,-1.7554E+2
90375000, 9.2477E-1, 1.7895E+2
92750000, 9.1705E-1, 1.7287E+2
95125000, 8.9911E-1, 1.6641E+2
97500000, 8.7333E-1, 1.5996E+2
99875000, 8.4117E-1, 1.5422E+2
102250000, 8.0315E-1, 1.4896E+2
104625000, 8.201E-1, 1.4373E+2
107000000, 7.7551E-1, 1.3396E+2
109375000, 7.426E-1, 1.207E+2
111750000, 6.6527E-1, 1.0883E+2
114125000, 5.6882E-1, 9.3722E+1
116500000, 4.397E-1, 7.5564E+1
118875000, 2.9865E-1, 5.0499E+1
121250000, 1.5409E-1, 8.9127E+0
123625000, 1.0929E-1,-7.9912E+1
126000000, 1.787E-1,-1.3862E+2
128375000, 2.1434E-1,-1.6754E+2
130750000, 1.8449E-1, 1.7403E+2
133125000, 1.1092E-1, 1.7654E+2
135500000, 9.3441E-2,-1.413E+2
137875000, 1.8535E-1,-1.1164E+2
140250000, 3.5627E-1,-1.2644E+2
142625000, 3.9023E-1,-1.4494E+2
145000000, 4.1033E-1,-1.5107E+2
147375000, 4.4734E-1,-1.5747E+2
149750000, 4.7884E-1,-1.6538E+2
152125000, 4.937E-1,-1.7339E+2
154500000, 4.8745E-1, 1.7911E+2
156875000, 4.565E-1, 1.7218E+2
159250000, 4.0324E-1, 1.6823E+2
161625000, 3.7122E-1, 1.7159E+2
164000000, 3.9506E-1, 1.7391E+2
166375000, 4.17E-1, 1.7151E+2
168750000, 4.2776E-1, 1.672E+2
171125000, 4.097E-1, 1.6031E+2
173500000, 3.6174E-1, 1.5938E+2
175875000, 3.6401E-1, 1.6224E+2
178250000, 3.9035E-1, 1.5971E+2
180625000, 3.9597E-1, 1.527E+2
183000000, 3.7111E-1, 1.4264E+2
185375000, 3.105E-1, 1.3229E+2
187750000, 2.2412E-1, 1.2238E+2
190125000, 1.2171E-1, 1.2267E+2
192500000, 5.1021E-2, 1.7908E+2
194875000, 1.2331E-1,-1.2867E+2
197250000, 2.1996E-1,-1.2806E+2
199625000, 3.1255E-1,-1.3746E+2
202000000, 3.7804E-1,-1.482E+2
204375000, 4.0158E-1,-1.5742E+2
206750000, 3.9879E-1,-1.623E+2
209125000, 3.8305E-1,-1.6325E+2
211500000, 3.7708E-1,-1.6076E+2
213875000, 4.005E-1,-1.5647E+2
216250000, 4.5495E-1,-1.5338E+2
218625000, 5.3184E-1,-1.544E+2
221000000, 6.0361E-1,-1.5833E+2
223375000, 6.5018E-1,-1.6405E+2
225750000, 6.7745E-1,-1.6959E+2
228125000, 6.8748E-1,-1.7308E+2
230500000, 7.21E-1,-1.7401E+2
232875000, 7.9165E-1,-1.7804E+2
235250000, 8.1709E-1, 1.7509E+2
237625000, 8.1684E-1, 1.6981E+2
240000000, 8.1103E-1, 1.6552E+2
242375000, 8.1037E-1, 1.6235E+2
