NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:08:58",
CHAN,MEAS,FORMAT
3,S12,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,UNITS
Hz,U,deg
50000000, 3.7354E-3, 9.6542E-1
52375000, 3.5747E-3,-1.1742E+0
54750000, 3.4827E-3,-4.4028E+0
57125000, 3.2718E-3,-7.6218E-1
59500000, 3.3858E-3,-3.403E+0
61875000, 3.4789E-3,-5.7129E+0
64250000, 3.5676E-3,-1.1884E+1
66625000, 3.3742E-3,-2.2223E+1
69000000, 3.1594E-3,-3.9098E+1
71375000, 3.9401E-3,-1.2338E+2
73750000, 2.8604E-3, 5.1308E+1
76125000, 2.4742E-3, 4.0651E+1
78500000, 2.7944E-3, 3.8661E+1
80875000, 2.9912E-3, 3.8826E+1
83250000, 3.2622E-3, 4.0185E+1
85625000, 3.4684E-3, 4.4896E+1
88000000, 4.7488E-3, 4.6667E+1
90375000, 4.8165E-3, 3.7627E+1
92750000, 4.6819E-3, 4.1554E+1
95125000, 4.7996E-3, 5.2239E+1
97500000, 6.2987E-3, 7.6139E+1
99875000, 1.2554E-2, 8.4353E+1
102250000, 2.5631E-2, 7.2219E+1
104625000, 5.2039E-2, 2.8407E+1
107000000, 4.9026E-2, 1.0315E+1
109375000, 5.2051E-2,-3.3938E+1
111750000, 4.9427E-2,-3.9245E+1
114125000, 6.9504E-2,-5.8747E+1
116500000, 7.8573E-2,-9.175E+1
118875000, 8.0396E-2,-1.193E+2
121250000, 8.1128E-2,-1.4888E+2
123625000, 8.0522E-2,-1.7827E+2
126000000, 7.425E-2, 1.4936E+2
128375000, 5.5148E-2, 1.1657E+2
130750000, 2.8543E-2, 1.0567E+2
133125000, 2.7189E-2, 1.2329E+2
135500000, 2.8791E-2, 1.2304E+2
137875000, 4.4678E-2, 1.3367E+2
140250000, 8.3331E-2, 1.0187E+2
142625000, 7.8748E-2, 5.806E+1
145000000, 6.4169E-2, 3.4251E+1
147375000, 5.3994E-2, 1.8482E+1
149750000, 4.7053E-2, 6.1441E+0
152125000, 4.2315E-2,-5.9106E+0
154500000, 3.6477E-2,-1.9696E+1
156875000, 2.7623E-2,-3.2451E+1
159250000, 1.5827E-2,-3.4953E+1
161625000, 1.3247E-2, 2.492E+1
164000000, 3.0519E-2, 2.8949E+1
166375000, 4.7506E-2, 1.1429E+1
168750000, 6.3425E-2,-1.1294E+1
171125000, 7.361E-2,-4.1375E+1
173500000, 6.3921E-2,-7.5333E+1
175875000, 4.6333E-2,-9.9325E+1
178250000, 3.1193E-2,-1.1779E+2
180625000, 1.7153E-2,-1.2664E+2
183000000, 5.0712E-3,-1.195E+2
185375000, 1.2442E-2,-6.6591E+0
187750000, 2.906E-2,-2.4642E+1
190125000, 4.5731E-2,-4.9768E+1
192500000, 5.4884E-2,-7.7154E+1
194875000, 6.164E-2,-1.0351E+2
197250000, 5.86E-2,-1.3383E+2
199625000, 5.197E-2,-1.6109E+2
202000000, 3.9423E-2, 1.6853E+2
204375000, 2.7717E-2, 1.4643E+2
206750000, 1.9596E-2, 1.2118E+2
209125000, 1.4323E-2, 9.3165E+1
211500000, 1.0718E-2, 4.6063E+1
213875000, 7.5166E-3,-9.7256E+0
216250000, 4.9222E-3,-5.8374E+1
218625000, 1.8716E-3,-8.0644E+1
221000000, 2.0176E-3, 2.6995E+1
223375000, 6.2266E-3, 1.7713E+1
225750000, 1.1798E-2,-1.5175E+0
228125000, 1.7068E-2,-3.0175E+1
230500000, 1.9328E-2,-5.768E+1
232875000, 1.7259E-2,-7.8604E+1
235250000, 1.7283E-2,-8.8444E+1
237625000, 1.6291E-2,-1.0621E+2
240000000, 1.4589E-2,-1.1812E+2
