NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:09:49",
CHAN,MEAS,FORMAT
2,S21,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
139158, 1.0053E-4,-5.1478E+1
140263, 9.8957E-5, 1.9037E+1
141368, 8.3419E-5, 8.9654E+1
142474, 5.4019E-5, 1.5109E+2
143579, 4.8053E-5, 1.7437E+2
144684, 5.4829E-5,-1.2923E+2
145789, 6.5273E-5,-7.6834E+1
146895, 6.3029E-5,-3.4456E+0
148000, 4.3254E-5, 4.2907E+1
149105, 5.1329E-5, 9.6926E+1
150210, 4.1617E-5, 1.5032E+2
151316, 5.1454E-5,-1.5696E+2
152421, 6.4112E-5,-7.6442E+1
153526, 3.8546E-5, 3.6064E+1
154631, 1.1159E-5, 6.9833E+1
155737, 1.8021E-5,-6.5286E+1
156842, 5.0498E-5, 8.9849E+1
157947, 4.5699E-5,-1.3214E+2
159053, 5.9852E-6,-1.1905E+2
160158, 2.1383E-5, 2.6632E+1
161263, 2.8368E-5,-1.2206E+2
162368, 4.1358E-5, 1.5716E+1
163474, 2.6074E-5, 1.0309E+2
164579, 3.594E-5, 1.583E+2
165684, 2.3979E-5,-8.6383E+1
166789, 1.535E-5,-1.52E+2
167895, 2.8556E-5,-5.9785E+1
169000, 3.3948E-5,-4.7653E+0
170105, 4.4029E-5, 6.9088E+1
171210, 4.1789E-5, 1.3699E+2
172316, 3.3131E-5,-1.6323E+2
173421, 4.3168E-5,-1.1649E+2
174526, 3.6946E-5,-5.026E+1
175631, 4.0899E-5,-1.8622E+0
176737, 3.7283E-5, 6.2261E+1
177842, 3.3894E-5, 1.143E+2
178947, 2.7915E-5, 1.5858E+2
180053, 2.9808E-5,-1.5173E+2
181158, 3.4202E-5,-1.0514E+2
182263, 3.4071E-5,-3.8215E+1
183368, 3.0439E-5, 1.6037E+1
184474, 2.7286E-5, 9.1375E+1
185579, 1.5849E-5, 1.3127E+2
186684, 1.5634E-5,-1.6011E+2
187789, 9.0515E-6,-1.0882E+2
188895, 6.7235E-7,-7.4541E+1
190000, 5.0239E-6,-1.4614E+2
191105, 2.0386E-5,-5.2747E+1
192210, 1.6438E-5, 4.2573E+1
193316, 1.4838E-5, 1.0267E+2
194421, 1.1953E-5,-1.7635E+2
195526, 5.3647E-6,-1.1979E+2
196631, 8.2736E-6,-6.6864E+1
197737, 6.6631E-6, 4.8017E+1
198842, 7.7301E-6, 7.96E+1
199947, 1.4729E-5,-1.7346E+2
201053, 5.1192E-6,-1.3331E+2
202158, 1.5797E-5,-8.433E+1
203263, 1.5673E-5,-3.0884E+1
204368, 2.4476E-5, 1.9833E+1
205474, 2.8013E-5, 9.0875E+1
206579, 2.4869E-5, 1.3592E+2
207684, 2.9681E-5,-1.5469E+2
208789, 2.0413E-5,-1.0825E+2
209895, 2.2258E-5,-5.3107E+1
211000, 1.4426E-5,-6.8198E+0
212105, 1.7788E-5, 2.8232E+1
213210, 1.324E-5, 8.0767E+1
214316, 1.9874E-5, 1.2333E+2
215421, 1.2503E-5, 1.7687E+2
216526, 2.0152E-5,-1.2287E+2
217631, 8.5855E-6,-4.8242E+1
218737, 1.0521E-5,-3.2179E+1
219842, 2.4263E-6, 4.4517E+1
220947, 1.1254E-5, 4.4555E+1
222052, 5.0163E-6, 9.4053E+1
223158, 5.0383E-6, 1.4491E+2
224263, 5.6842E-6,-1.6725E+2
225368, 4.9365E-6,-1.7509E+2
226474, 3.9366E-6,-5.111E+1
227579, 4.9803E-7,-5.6511E+1
228684, 4.0123E-6,-1.7145E+2
229789, 7.3927E-6,-7.9244E+1
230895, 9.4584E-6,-2.022E+1
232000, 7.5407E-6, 1.9554E+1
233105, 9.0348E-6, 6.1956E+1
234210, 1.2284E-5, 9.9165E+1
235316, 1.6078E-5, 1.4509E+2
236421, 1.8058E-5,-1.5273E+2
237526, 2.1064E-5,-9.9505E+1
238631, 1.5911E-5,-4.8252E+1
239737, 1.9782E-5, 4.834E+0
240842, 1.5089E-5, 6.3064E+1
241947, 1.4797E-5, 1.094E+2
243052, 1.1267E-5, 1.6107E+2
244158, 9.0092E-6,-1.6332E+2
245263, 1.075E-5,-1.0388E+2
246368, 8.11E-6,-9.6419E+1
247474, 1.067E-5,-3.3618E+0
248579, 9.3609E-6, 1.8246E+1
249684, 6.3461E-6, 1.0704E+2
250789, 7.1914E-6, 1.3361E+2
251895, 2.7148E-6, 8.0655E+1
253000, 6.0524E-6,-5.6466E+1
254105, 1.0278E-5,-1.5063E+2
255210, 5.1641E-6, 1.462E+2
256316, 7.1979E-6,-3.41E+1
257421, 9.8368E-6,-1.072E+2
258526, 6.1916E-6, 1.6172E+2
259631, 1.2303E-5, 3.8079E+1
260737, 1.5145E-5, 8.6407E+0
261842, 5.9876E-6, 1.2661E+2
262947, 1.6683E-5, 1.097E+2
264052, 4.932E-6,-1.0159E+2
265158, 2.6842E-5,-1.2254E+2
266263, 1.7599E-5,-1.5648E+2
267368, 1.6522E-5, 2.9574E+1
268474, 2.731E-5,-1.3797E+1
269579, 9.7852E-6, 1.1931E+2
270684, 2.0625E-5, 5.3387E+1
271789, 2.6584E-5, 1.7406E+2
272895, 2.4953E-6,-1.2729E+2
274000, 1.4309E-5,-1.1858E+2
275105, 7.2427E-6,-3.3739E+1
276210, 8.9153E-6,-4.1052E+1
277316, 9.404E-6, 2.0991E+1
278421, 9.1692E-6, 8.3053E+1
279526, 3.3842E-6, 1.4324E+2
280631, 5.2938E-6, 1.4655E+2
281737, 3.5202E-6, 1.7449E+2
282842, 5.933E-6,-1.379E+2
283947, 2.6656E-6,-7.9596E+1
285052, 5.722E-6,-9.5918E+1
286158, 5.5609E-6,-5.3768E+1
287263, 9.2541E-6,-7.3485E+0
288368, 8.5714E-6, 6.4278E+1
289474, 4.9354E-6, 9.7353E+1
290579, 5.9606E-6, 1.0893E+2
291684, 8.9437E-6, 1.4429E+2
292789, 1.0632E-5,-1.6014E+2
293895, 9.9595E-6,-1.1205E+2
295000, 1.101E-5,-7.0827E+1
296105, 1.0372E-5,-3.5971E+1
297210, 1.3936E-5, 1.8858E+1
298316, 1.285E-5, 7.1397E+1
299421, 1.2398E-5, 1.235E+2
300526, 8.986E-6, 1.6327E+2
301631, 1.0598E-5,-1.527E+2
302737, 1.0456E-5,-1.0749E+2
303842, 9.2995E-6,-5.7001E+1
304947, 8.0831E-6,-3.8054E+0
306052, 5.7971E-6, 2.1909E+1
307158, 6.8688E-6, 7.1407E+1
308263, 7.4982E-6, 1.0462E+2
309368, 6.3841E-6, 1.5822E+2
310473, 6.1007E-6,-1.5309E+2
311579, 4.9082E-6,-1.0939E+2
312684, 5.5091E-6,-7.8254E+1
313789, 3.1921E-6,-4.7064E+1
314895, 4.166E-6, 2.8537E+0
316000, 3.5198E-6, 1.3177E+1
317105, 4.6448E-6, 6.3316E+1
318210, 6.2577E-6, 9.2157E+1
319316, 6.5864E-6, 1.4485E+2
320421, 5.9285E-6,-1.5937E+2
321526, 5.8128E-6,-1.2896E+2
322631, 5.761E-6,-9.8874E+1
323737, 5.7753E-6,-4.5205E+1
324842, 7.1262E-6,-3.3563E+0
325947, 5.6902E-6, 3.1878E+1
327052, 7.3175E-6, 7.7932E+1
328158, 5.9709E-6, 1.2617E+2
329263, 7.4556E-6, 1.6929E+2
330368, 6.5884E-6,-1.4399E+2
331473, 5.2899E-6,-7.2419E+1
332579, 6.3068E-6,-4.6409E+1
333684, 4.3957E-6,-2.829E-1
334789, 6.206E-6, 6.6877E+1
335895, 2.9348E-6, 1.042E+2
337000, 6.1357E-6, 1.5611E+2
338105, 1.968E-6,-1.7097E+2
339210, 3.659E-6,-1.1903E+2
340316, 4.0426E-6,-1.2175E+2
341421, 4.7584E-6,-1.8207E+1
342526, 2.8323E-6, 2.0402E+1
343631, 5.3471E-6,-7.9994E+0
344737, 3.7014E-6, 7.8291E+1
345842, 3.3233E-6, 1.2346E+2
346947, 3.7891E-6, 1.4628E+2
348052, 4.0918E-6,-1.7585E+2
349158, 1.5017E-6,-1.7898E+2
350263, 4.528E-6,-1.0965E+2
351368, 5.142E-6,-4.7049E+1
352473, 5.9102E-6, 2.4108E+1
353579, 5.6749E-6,-2.8227E+1
354684, 6.5579E-6, 8.7418E+1
355789, 4.9006E-6, 1.136E+2
356895, 6.4909E-6, 1.5945E+2
358000, 6.0459E-6,-1.302E+2
359105, 5.0514E-6,-1.2714E+2
360210, 6.8378E-6,-8.9724E+1
361316, 6.4914E-6,-3.1448E-1
362421, 6.2759E-6, 2.0794E+1
363526, 5.1252E-6, 6.7989E+1
364631, 3.3453E-6, 1.2795E+2
365737, 7.5298E-6, 1.3669E+2
366842, 4.9457E-6,-1.4816E+2
367947, 4.0972E-6,-1.1244E+2
369052, 5.6274E-6,-7.1444E+1
370158, 2.8468E-6, 9.7916E-1
371263, 6.2547E-6,-2.7889E+1
372368, 5.9937E-6, 6.4527E+1
373473, 6.2358E-6, 9.2504E+1
374579, 4.9941E-6, 1.2211E+2
375684, 4.0991E-6, 1.5413E+2
376789, 6.4194E-6,-1.771E+2
