NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:19:35",
CHAN,MEAS,FORMAT
3,S12,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,UNITS
Hz,U,deg
50000000, 3.7382E-3, 1.1508E+0
52375000, 3.6242E-3,-1.7166E+0
54750000, 3.5319E-3,-3.7312E+0
57125000, 3.4405E-3,-4.7063E+0
59500000, 3.481E-3,-6.6852E+0
61875000, 2.8309E-3,-1.1698E+1
64250000, 3.377E-3,-1.431E+1
66625000, 3.1459E-3,-2.4033E+1
69000000, 2.7076E-3,-4.1189E+1
71375000, 1.7942E-3, 1.7095E+2
73750000, 2.3455E-3, 3.1999E+1
76125000, 2.1016E-3, 2.6919E+1
78500000, 2.2549E-3, 3.6369E+1
80875000, 2.8037E-3, 4.3879E+1
83250000, 3.8525E-3, 3.954E+1
85625000, 4.0181E-3, 1.5298E+1
88000000, 1.3654E-3, 1.9254E+1
90375000, 3.9396E-3, 6.3472E+1
92750000, 4.0184E-3, 6.3833E+1
95125000, 4.8041E-3, 8.5677E+1
97500000, 1.2321E-2, 1.1254E+2
99875000, 3.9547E-2, 5.9965E+1
102250000, 3.021E-2, 1.4157E+1
104625000, 2.6737E-2,-4.3506E+0
107000000, 2.6437E-2,-5.029E+0
109375000, 3.6224E-2,-4.0814E+0
111750000, 5.9653E-2,-3.7205E+1
114125000, 6.2159E-2,-6.4922E+1
116500000, 7.2464E-2,-9.0386E+1
118875000, 7.9731E-2,-1.2471E+2
121250000, 7.0843E-2,-1.6241E+2
123625000, 4.7449E-2, 1.624E+2
126000000, 1.323E-2, 1.534E+2
128375000, 5.2839E-2,-1.2249E+2
130750000, 1.2815E-1, 1.6687E+2
133125000, 1.1153E-1, 1.1456E+2
135500000, 8.657E-2, 8.5726E+1
137875000, 7.3095E-2, 6.4786E+1
140250000, 6.4121E-2, 4.5614E+1
142625000, 5.4736E-2, 2.8196E+1
145000000, 4.8946E-2, 1.0353E+1
147375000, 3.7089E-2,-1.1122E+1
149750000, 2.1786E-2,-2.4207E+1
152125000, 8.611E-3,-3.3069E+0
154500000, 1.7897E-2, 7.1708E+1
156875000, 4.7315E-2, 4.8003E+1
159250000, 5.7697E-2, 1.3173E+1
161625000, 5.5782E-2,-7.7481E+0
164000000, 5.8749E-2,-2.7837E+1
166375000, 4.6977E-2,-5.0622E+1
168750000, 3.7534E-2,-5.444E+1
171125000, 3.6237E-2,-6.3745E+1
173500000, 3.0645E-2,-7.5818E+1
175875000, 2.2964E-2,-8.1841E+1
178250000, 1.6349E-2,-6.8921E+1
180625000, 2.168E-2,-4.348E+1
183000000, 3.2431E-2,-5.6206E+1
185375000, 3.4473E-2,-7.5358E+1
187750000, 3.1927E-2,-8.5899E+1
190125000, 2.9509E-2,-9.0299E+1
192500000, 3.6591E-2,-9.1222E+1
194875000, 4.2037E-2,-1.1198E+2
197250000, 4.2328E-2,-1.3315E+2
199625000, 3.7664E-2,-1.5268E+2
202000000, 3.5884E-2,-1.7092E+2
204375000, 3.2311E-2, 1.6562E+2
206750000, 2.9678E-2, 1.37E+2
209125000, 2.3602E-2, 1.0197E+2
211500000, 1.9279E-2, 6.5682E+1
213875000, 1.4671E-2, 2.243E+1
216250000, 1.0153E-2,-6.7525E+0
218625000, 8.6009E-3,-1.9719E+1
221000000, 8.2781E-3,-3.3136E+1
223375000, 7.0838E-3,-2.9441E+1
225750000, 1.0628E-2,-2.3541E+1
228125000, 1.5293E-2,-4.2524E+1
230500000, 1.5438E-2,-6.9692E+1
232875000, 1.267E-2,-7.5944E+1
235250000, 1.4039E-2,-8.134E+1
237625000, 1.431E-2,-9.5565E+1
240000000, 1.2416E-2,-1.0667E+2
