NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:09:46",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
-20000,-72.236
-18895,-69.033
-17789,-69.693
-16684,-68.995
-15579,-67.507
-14474,-66.922
-13368,-66.730
-12263,-71.095
-11158,-67.215
-10053,-70.925
-8947,-70.942
-7842,-65.108
-6737,-63.238
-5632,-66.345
-4526,-60.654
-3421,-58.870
-2316,-58.987
-1211,-25.046
 -105,-8.315
 1000,-7.300
 2105,-16.795
 3211,-16.746
 4316,-19.067
 5421,-18.268
 6526,-14.273
 7632,-17.228
 8737,-21.776
 9842,-21.890
10947,-25.454
12053,-29.534
13158,-40.203
14263,-31.148
15368,-33.439
16474,-37.554
17579,-42.788
18684,-50.670
19789,-46.246
20895,-40.132
22000,-45.995
23105,-47.083
24211,-51.697
25316,-59.334
26421,-54.781
27526,-59.588
28632,-54.888
29737,-58.148
30842,-56.289
31947,-56.209
33053,-55.114
34158,-49.653
35263,-48.006
36368,-47.261
37474,-46.038
38579,-47.290
39684,-51.108
40789,-45.724
41895,-51.937
43000,-47.613
44105,-51.019
45210,-54.991
46316,-50.540
47421,-56.619
48526,-53.607
49632,-50.390
50737,-56.383
51842,-60.542
52947,-50.770
54053,-57.009
55158,-63.232
56263,-56.671
57368,-62.776
58474,-54.546
59579,-64.537
60684,-64.255
61789,-59.334
62895,-59.525
64000,-62.316
65105,-63.040
66210,-59.159
67316,-64.784
68421,-73.201
69526,-66.956
70632,-74.234
71737,-67.339
72842,-61.083
73947,-65.509
75053,-65.157
76158,-64.940
77263,-64.486
78368,-66.026
79474,-64.128
80579,-68.050
81684,-71.519
82789,-68.697
83895,-72.151
85000,-95.710
86105,-73.552
87210,-85.247
88316,-82.831
89421,-75.069
90526,-75.412
91632,-78.577
92737,-78.475
93842,-76.278
94947,-76.038
