NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:14:21",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
111526,-72.715
112632,-75.222
113737,-82.438
114842,-74.777
115947,-75.625
117053,-77.177
118158,-79.452
119263,-79.302
120368,-78.676
121474,-78.806
122579,-77.499
123684,-82.627
124789,-83.317
125895,-80.581
127000,-78.212
128105,-78.308
129210,-84.636
130316,-85.977
131421,-82.342
132526,-81.412
133631,-86.278
134737,-82.844
135842,-83.265
136947,-85.758
138053,-89.797
139158,-89.797
140263,-98.371
141368,-93.057
142474,-78.229
143579,-80.640
144684,-79.340
145789,-80.207
146895,-93.252
148000,-85.818
149105,-84.505
150210,-87.816
151316,-83.941
152421,-83.250
153526,-91.601
154631,-86.923
155737,-85.623
156842,-84.649
157947,-80.372
159053,-78.997
160158,-80.858
161263,-82.594
162368,-84.914
163474,-81.546
164579,-76.480
165684,-83.571
166789,-81.279
167895,-78.390
169000,-79.334
170105,-81.222
171210,-80.762
172316,-76.345
173421,-75.594
174526,-71.828
175631,-72.511
176737,-84.204
177842,-73.612
178947,-79.326
180053,-75.939
181158,-72.326
182263,-72.994
183368,-70.470
184474,-68.904
185579,-75.099
186684,-78.293
187789,-90.880
188895,-85.005
190000,-82.495
191105,-91.423
192210,-87.898
193316,-82.427
194421,-83.990
195526,-83.813
196631,-85.217
197737,-89.902
198842,-88.894
199947,-87.035
201053,-86.346
202158,-94.566
203263,-94.741
204368,-88.824
205474,-92.046
206579,-84.709
207684,-83.242
208789,-88.768
209895,-86.780
211000,-84.184
212105,-87.004
213210,-85.360
214316,-89.272
215421,-91.381
216526,-83.880
217631,-84.154
218737,-83.318
219842,-87.754
220947,-89.749
222052,-80.500
223158,-86.175
224263,-81.832
225368,-82.377
226474,-85.816
227579,-80.134
228684,-79.819
229789,-86.090
230895,-77.292
232000,-77.596
233105,-80.332
234210,-77.368
235316,-76.823
236421,-81.671
237526,-75.644
238631,-81.269
239737,-96.785
240842,-80.439
241947,-86.336
243052,-79.806
244158,-74.760
245263,-80.546
246368,-78.945
247474,-72.839
248579,-70.749
249684,-79.119
250789,-72.464
251895,-66.490
253000,-68.001
254105,-69.970
255210,-78.790
256316,-68.336
257421,-59.376
258526,-60.731
259631,-62.325
260737,-56.219
261842,-70.074
262947,-62.152
264052,-57.059
265158,-54.409
266263,-48.867
267368,-49.399
268474,-63.315
269579,-55.198
270684,-65.131
271789,-69.393
272895,-67.578
274000,-75.568
275105,-72.493
276210,-75.668
277316,-70.523
278421,-73.795
279526,-81.211
280631,-73.252
281737,-84.849
282842,-85.190
283947,-82.350
285052,-89.233
286158,-76.904
287263,-87.359
288368,-79.630
289474,-80.136
290579,-85.399
291684,-80.851
292789,-83.319
293895,-87.935
295000,-82.010
296105,-85.751
297210,-78.662
298316,-84.623
299421,-83.478
300526,-84.020
301631,-93.555
302737,-81.781
303842,-94.128
304947,-83.235
306052,-86.738
307158,-94.789
308263,-86.072
309368,-92.008
310473,-88.691
311579,-86.088
312684,-85.484
313789,-86.455
314895,-85.190
316000,-85.925
317105,-80.203
318210,-86.661
319316,-85.758
320421,-85.106
321526,-82.778
322631,-103.315
323737,-85.021
324842,-97.402
325947,-83.244
327052,-97.551
328158,-83.026
329263,-83.269
330368,-84.854
331473,-87.592
332579,-90.195
333684,-89.977
334789,-79.546
335895,-84.942
337000,-83.833
338105,-79.670
339210,-82.290
340316,-70.414
341421,-64.888
342526,-60.648
343631,-68.001
344737,-82.256
345842,-74.090
346947,-79.133
348052,-83.478
349158,-79.390
350263,-71.239
351368,-73.002
352473,-78.712
353579,-87.231
354684,-86.412
355789,-94.138
356895,-74.925
358000,-81.308
359105,-72.801
360210,-83.222
361316,-82.504
362421,-74.739
363526,-81.640
364631,-76.214
365737,-82.605
366842,-76.074
367947,-86.565
369052,-79.083
370158,-85.448
371263,-87.629
372368,-73.559
373473,-75.442
374579,-80.773
375684,-75.476
376789,-71.952
377895,-77.556
379000,-76.919
380105,-66.940
381210,-57.461
382316,-63.704
383421,-83.538
384526,-73.128
385631,-73.052
386737,-81.376
387842,-75.351
388947,-76.979
390052,-79.550
391158,-73.371
392263,-90.918
393368,-78.359
394473,-79.069
395579,-86.668
396684,-76.498
397789,-76.943
398894,-72.657
400000,-73.729
401105,-70.238
402210,-69.570
403316,-69.874
404421,-68.990
405526,-67.639
406631,-67.060
407737,-67.278
408842,-71.313
409947,-68.281
411052,-73.251
412158,-71.673
413263,-67.408
414368,-61.715
415473,-65.864
416579,-60.142
417684,-58.315
418789,-57.745
419894,-23.789
421000,-7.953
422105,-7.614
