NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:14:21",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
-20000,-72.534
-18895,-69.441
-17789,-70.147
-16684,-69.192
-15579,-67.390
-14474,-66.747
-13368,-66.723
-12263,-69.767
-11158,-67.027
-10053,-70.824
-8947,-71.816
-7842,-65.769
-6737,-63.055
-5632,-65.892
-4526,-60.907
-3421,-58.921
-2316,-58.944
-1211,-25.061
 -105,-8.321
 1000,-7.296
 2105,-16.795
 3211,-16.745
 4316,-19.065
 5421,-18.271
 6526,-14.273
 7632,-17.221
 8737,-21.778
 9842,-21.888
10947,-25.457
12053,-29.529
13158,-40.216
14263,-31.159
15368,-33.434
16474,-37.579
17579,-42.815
18684,-50.685
19789,-46.288
20895,-40.115
22000,-45.944
23105,-47.105
24211,-51.838
25316,-59.416
26421,-54.741
27526,-59.421
28632,-54.873
29737,-58.066
30842,-56.333
31947,-56.213
33053,-55.388
34158,-49.627
35263,-47.971
36368,-47.310
37474,-46.151
38579,-47.299
39684,-51.407
40789,-45.658
41895,-52.063
43000,-47.592
44105,-50.991
45210,-55.033
46316,-50.731
47421,-56.788
48526,-53.613
49632,-50.444
50737,-56.116
51842,-60.380
52947,-50.529
54053,-56.687
55158,-63.130
56263,-56.314
57368,-61.774
58474,-54.356
59579,-65.860
60684,-63.440
61789,-59.348
62895,-59.134
64000,-62.605
65105,-62.501
66210,-59.016
67316,-64.674
68421,-76.453
69526,-66.716
70632,-73.747
71737,-66.712
72842,-61.334
73947,-65.412
75053,-65.113
76158,-64.824
77263,-64.593
78368,-65.090
79474,-64.011
80579,-68.111
81684,-72.201
82789,-69.310
83895,-73.853
85000,-84.914
86105,-75.099
87210,-93.488
88316,-91.274
89421,-73.888
90526,-73.966
91632,-77.830
92737,-77.835
93842,-75.320
94947,-75.457
96053,-77.944
97158,-88.541
98263,-75.504
99368,-70.934
100474,-70.995
101579,-72.168
102684,-80.559
103789,-80.222
104895,-78.497
106000,-80.396
107105,-79.851
108210,-73.445
109316,-73.447
110421,-72.961
